id,match_id,minute,type,description,player_id,player_name,team_side
289,100,"10",goal,"Alexis Mac Allister 进球",,"Alexis Mac Allister",home
290,100,"112",goal,"Julián Álvarez 进球",,"Julián Álvarez",home
291,100,"120+1",goal,"Lautaro Martínez 进球",,"Lautaro Martínez",home
292,100,"67",goal,"Dan Ndoye 进球",,"Dan Ndoye",away
293,101,"22",goal,"Mikel Oyarzabal 点球破门",,"Mikel Oyarzabal",away
294,101,"58",goal,"Pedro Porro 进球",,"Pedro Porro",away
295,102,"55",goal,"Anthony Gordon 进球",,"Anthony Gordon",home
296,102,"86",goal,"Enzo Fernández 进球",,"Enzo Fernández",away
297,102,"92",goal,"Lautaro Martínez 进球",,"Lautaro Martínez",away
298,103,"48",goal,"Kylian Mbappé 进球",,"Kylian Mbappé",home
299,103,"54",goal,"Bradley Barcola 进球",,"Bradley Barcola",home
300,103,"66",goal,"Kylian Mbappé 进球",,"Kylian Mbappé",home
301,103,"90+6",goal,"Ousmane Dembélé 进球",,"Ousmane Dembélé",home
302,103,"3",goal,"Declan Rice 进球",,"Declan Rice",away
303,103,"18",goal,"Ezri Konsa 进球",,"Ezri Konsa",away
304,103,"37",goal,"Bukayo Saka 进球",,"Bukayo Saka",away
305,103,"45+1",goal,"Bukayo Saka 进球",,"Bukayo Saka",away
306,103,"87",goal,"Bukayo Saka 点球破门",,"Bukayo Saka",away
307,103,"90+8",goal,"Jude Bellingham 进球",,"Jude Bellingham",away
308,104,"106",goal,"Ferran Torres 进球",,"Ferran Torres",home
